Model,Strength,Content,Fluency,G3_human,Overall
STYTRANS,2.706,3.27,3.164,3.036,2.75
TSST,2.406,3.736,3.782,3.239,2.772
NAST,2.646,3.968,3.52,3.331,2.942
STRAP,3.632,3.336,3.806,3.586,3.498
BSRR,3.958,4.588,4.718,4.408,4.172
TYB,3.81,4.512,4.688,4.319,4.086
CTAT,2.54,2.788,2.464,2.594,2.422
LORA_INST,4.42,4.36,4.702,4.492,4.384
LORA,3.878,4.582,4.748,4.386,4.14
CHATGPT,4.89,4.09,4.754,4.564,4.504
CHATGPT_FS,4.806,4.136,4.75,4.554,4.486
GPT4,4.95,4.2,4.76,4.625,4.59
GPT4_FS,4.94,4.25,4.596,4.587,4.56
