Model,Strength,Content,Fluency,G3_human,Overall
STYTRANS,3.552,2.82,2.816,3.044,2.964
TSST,3.458,3.246,3.386,3.362,3.216
NAST,3.29,4.004,3.86,3.705,3.434
STRAP,3.782,3.43,4.226,3.799,3.702
BSRR,3.822,4.684,4.706,4.384,4.166
TYB,4.096,4.516,4.744,4.444,4.304
CTAT,2.944,2.64,2.24,2.592,2.546
LORA_INST,4.048,4.564,4.59,4.393,4.292
LORA,3.816,4.744,4.736,4.409,4.168
CHATGPT,4.646,4.09,4.642,4.451,4.452
CHATGPT_FS,4.678,4.204,4.75,4.537,4.518
GPT4,4.784,4.168,4.722,4.549,4.54
GPT4_FS,4.69,4.05,4.658,4.456,4.452
